          source           |     relationship     |          target           
 Giuseppe Della Cha        | Employee Of          | Banco Ambrosiano
 Giuseppe Ferraioli        | Member Of            | Second Congregation of Pu
 Giuseppe Ferraioli        | Employee Of          | Vatican Secretariat of St
 Giuseppe Garofano         | Leader Of            | Ferruzzi Finanziaria S.p.
 Giuseppe Garofano         | Leader Of            | Montedison
 Giuseppe Garofano         | Member Of            | Opus Dei
 Giuseppe Garofano         | Founder Of           | Saint Serafino Foundation
 Giuseppe Garofano         | Member Of            | Vatican’s Ethics and Fina
 Giuseppe Genco Russo      | Subordinate Of       | Calogero Vizzini
 Giuseppe Gentile          | Leader Of            | Cassano delle Murge
 Giuseppe Impallomeni      | Member Of            | P2
 Giuseppe Lumia            | Leader Of            | Italy's anti-Mafia commis
 Giuseppe Mazzini          | Leader Of            | Republican Civil Guard
 Giuseppe “Pippo” Calò     | Leader Of            | Porta Nuova clan
 Giuseppe Puglisi          | Opponent Of          | Sicilian Mafia
 Giuseppe Santovito        | Leader Of            | Italian Army Intelligence
 Giuseppe Santovito        | Member Of            | P2
 Giuseppe Santovito        | Leader Of            | SISMI
 Giuseppe Tovini           | Founder Of           | Banco Ambrosiano
 Gladys                    | Parent Of            | Marilyn Monroe
 Glauco Partel             | Employee Of          | National Security Adminis
 Glauco Partel             | Member Of            | P2
 Glauco Partel             | Employee Of          | US National Security Agen
 GlaxoSmithKlein           | Employer Of          | Burroughs Wellcome
 Glaxosmithkline Biologica | Founder Of           | Pandemrix
 Glenn Beck                | Employer Of          | the Blaze
 Glenn Greenwald           | Associate Of         | Edward Snowden
 Glenn Greenwald           | Works For            | Salon
 Glennon                   | Subordinate Of       | Archbishop Ryan
 Glenn Scarpelli           | Parent Of            | Isabella
 Glenn Scarpelli           | Parent Of            | Joseph
 Glenn Scarpelli           | Spouse Of            | Patricia Colant
 Glenn Scarpelli           | Spouse Of            | Patricia Scarpelli
 Glen Stanish              | Founder Of           | Pilots for 9/11 Truth
 Gloria Steinem            | Employee Of          | Ms. magazine
 God                       | Parent Of            | Jesus
 Godfrey de Saint-Omer     | Member Of            | Poor Knights of Christ an
 Godfrey de Saint-Omer     | Member Of            | Templars
 Godfrey of Bouillon       | Leader Of            | First Crusade
 Godfroi de St. Omer       | Founder Of           | Knights Templar
 god of this world         | Superior Of          | man of sin
 Goebbels                  | Attended             | Jesuit College
 Goffredo                  | Lives In             | Milan
 Golairan                  | Associate Of         | d'Alfaro
 Golbery do Couto e Silva  | Student Of           | Advanced War College
 Golbery do Couto e Silva  | Employee Of          | Brazil
 Gonçalo Amaral            | Employee Of          | Polícia Judiciária
 Goodman Brown             | Spouse Of            | Faith
 Good Shepherd Church      | Lives In             | Rochdale
 Gordon Davidson           | Founder Of           | The Center for Visionary 
 Gordon Duff               | Employee Of          | Veterans Today
 Gordon Gray               | Colleague Of         | Dwight Eisenhower
 Gordon Gregory            | Collaborator Of      | Donna Williams
 Gordon Zubrod             | Member Of            | Army Medical Corps
 Gordon Zubrod             | Employer Of          | Freireich
 Gordon Zubrod             | Employee Of          | National Cancer Institute
 Gordon Zubrod             | Employee Of          | National Institutes of He
 Gordon Zubrod             | Employer Of          | Saint Louis University
 gorge north of Giurgiu    | Subordinate Of       | Giurgiu
 Goths                     | Enemy Of             | Roman Empire
 Gottardi Alessandro       | Member Of            | P2
 Gottfried Feder           | Member Of            | Nazi Party
 Gotthold Ephraim Lessing  | Supporter Of         | anti-Christian League
 Gotthold Ephraim Lessing  | Lives In             | Wolfenbuttel
 Gottschalc                | Subordinate Of       | Hincmar of Reims
 Government of Basle       | Adversary Of         | Michael Servetus
 Governor Penn             | Lives In             | Pennsylvania
 Grace Goddard             | Spouse Of            | Erwin Goddard
 Grace Goddard             | Friend Of            | Gladys
 Grace McKee               | Founder Of           | June 1942 marriage of Jim
 Graham Fuller             | Employee Of          | CIA
 Graham Martin             | Lives In             | Italy
 Graham Martin             | Collaborator Of      | Sindona
 Graham Martin             | Lives In             | US
 Graham Spanier            | Employee Of          | Penn State
 Graham Spanier            | Leader Of            | Penn State University
 Grant                     | Opponent Of          | Sindona v. Grant
 Graziosa Farina           | Associate Of         | Giulia Tofana
 Greg-Anthony-Szymanski    | Works For            | Greg Anthony’s Journal
 Greg Galluzzo             | Teacher Of           | Barack Obama
 Greg Galluzzo             | Member Of            | Jesuits
 Greg Gordon               | Employee Of          | McClatchy
 Greg Gutfeld              | Attended             | Roman Catholic Junípero S
 Greg King                 | Employer Of          | Open Road Media
 Greg Moffat               | Attended             | Fordham
 Greg Moffat               | Attended             | Georgetown
 Greg O'Meara              | Employee Of          | Creighton University
 Greg O'Meara              | Adversary Of         | Jeffrey Dahmer
 Greg O'Meara              | Employee Of          | Marquette University Law 
 Greg O'Meara              | Employee Of          | Milwaukee County
 Greg O'Meara              | Employee Of          | University of Wisconsin L
 Gregor                    | Child Of             | Đurađ Branković
 Gregor Strasser           | Member Of            | Nazi Party
 Gregor Strasser           | Sibling Of           | Otto Strasser
 Gregory                   | Employer Of          | Alberico
 Gregory                   | Critic Of            | Antichrist
 Gregory                   | Superior Of          | Franciscan
 Gregory                   | Leader Of            | St. Andreas
 Gregory Ahlgren           | Collaborator Of      | Crime of the Century: The
 Gregory Buckley Sr.       | Parent Of            | Gregory Buckley Jr.
 Gregory Flohr             | Member Of            | Diocese of Greensburg
 Gregory Galluzzo          | Mentor Of            | Barack Obama
 Gregory Galluzzo          | Associate Of         | Saul Alinsky
 Gregory IX.               | Collaborator Of      | Archbishop of Milan
 Gregory IX.               | Adversary Of         | Frederic
 Gregory IX.               | Leader Of            | Holy See
 Gregory IX.               | Founder Of           | Inquisition
 Gregory IX.               | Superior Of          | Mendicants
 Gregory IX.               | Superior Of          | Pierre Amiel
 Gregory Magistos          | Founder Of           | The Key of Truth
 Gregory the Great         | Lives In             | Rome
 Gregory the Great         | Founder Of           | Rome
 Gregory VII               | Founder Of           | Papacy
 Gregory XI                | Lives In             | Rome
 Gregory XIII              | Supporter Of         | Jesuits
 Gregory XV                | Founder Of           | Canonization of Ignatius 
 Gregory XVI               | Leader Of            | Catholic Church
 Gregory XVI               | Interacted With      | Portugal
 Greg Rixon                | Works For            | Pentagon
 Gretchen Whitmer          | Lives In             | Michigan
 Grey Wolves               | Founder Of           | Alparslan Türkeş
 Grey Wolves               | Subordinate Of       | Counter-Guerrillas
 Grey Wolves               | Lives In             | Turkey
 Grga Blazevitch           | Member Of            | Bosanski-Novi concentrati
 Grga Peinovic             | Leader Of            | Crusaders
 Grga Peinovic             | Leader Of            | Ustashi Central Propagand
 Grimerio                  | Leader Of            | Piacenza
 Guala                     | Leader Of            | authorities of Brescia
 Gualtieri                 | Leader Of            | parliamentary commission
 Guerchi                   | Subordinate Of       | Coligny
 Guerilla News Network     | Employer Of          | The Most Dangerous Game
 Guglielmo Marconi         | Spouse Of            | Beatrice O'Brien
 Gui                       | Sibling Of           | Bishop of Clermont
 Gui                       | Sibling Of           | de Montfort
 Gui                       | Leader Of            | Toulouse
 Guibourg                  | Collaborator Of      | Françoise la Filastre
 Guibourg                  | Friend Of            | la Voisin
 Guibourg                  | Employee Of          | Montgommery
 Gui d'Auvergne            | Leader Of            | Chasseneuil
 Gui de Montfort           | Subordinate Of       | Louis
 Gui de Reims              | Lives In             | Besancon
 Guido, Archbishop of Mila | Lives In             | Milan
 Guido Schmidt             | Works For            | Austria
 Gui II                    | Lives In             | Cambrai
 Guildford Dudley          | Spouse Of            | Jane
 Guillabert de Castres     | Lives In             | Montsggur
 Guillabert de Castres     | Lives In             | Toulouse
 Guillabert of Castres     | Leader Of            | Toulouse
 Guillaume de Bordes       | Works For            | Embrun
 Guillaume de Cobardon     | Superior Of          | Carcassonne
 Guillaume de Flavy        | Employee Of          | Compiègne
 Guillaume de Morieres     | Member Of            | Inquisition
 Guillaume de Morieres     | Leader Of            | Inquisition of Toulouse
 Guillaume de Nogaret      | Employee Of          | Philippe le Bel
 Guillaume de Paris        | Lives In             | Paris
 Guillaume de Pierrefleur  | Friend Of            | Claude Blancherose
 Guillaume de Trie         | Cousin Of            | Antoine Arneys
 Guillaume Farel           | Friend Of            | Calvin
 Guillaume Farel           | Lives In             | Dauphiné Province
 Guillaume Farel           | Colleague Of         | Fabri [Jacques Lefèvre d´
 Guillaume Farel           | Student Of           | Jacques Le Fèvre d’Étaple
 Guillaume Farel           | Friend Of            | Jehán Cauvín
 Guillaume Farel           | Supporter Of         | Martin Luther
 Guillaume Farel           | Lives In             | Neuchâtel
 Guillaume Farel           | Attended             | Synod at Chanforan
 Guillaume-Francois Berthi | Member Of            | Jesuits
 Guillaume-Francois Berthi | Employee Of          | Mémoires de Trevoux
 Guillaume Lamoignon       | Leader Of            | Paris Parlement
 Guillehna                 | Child Of             | Perrin Maurel
 Guillem Arnaud            | Lives In             | Carcassonne
 Guillem Arnaud            | Member Of            | Dominicans
 Guillem Arnaud            | Employee Of          | Inquisition
 Guillem Arnaud            | Lives In             | Montauban
 Guillem Arnaud            | Works For            | Toulouse
 Guillem Autier            | Sibling Of           | Pierre Autier
 Guillem Calverie          | Lives In             | Cordes
 Guillem de Saint-Seine    | Works For            | Carcassonne
 Guillem du Mas-Saintes-Pu | Subordinate Of       | Count Alfonse
 Guillemetta               | Child Of             | Raymond VI
 Guillem Fournier          | Subordinate Of       | Inquisition of Toulouse
 Guillem Guiraud           | Sibling Of           | Bernard Otho
 Guillem Guiraud           | Child Of             | Esclarmonde
 Guillem Guiraud           | Sibling Of           | Guiraud Bernard
 Guillem Pelhsson          | Collaborator Of      | GuiUem de Lombers
 Guillem Pierre            | Member Of            | Dominicans
 Guillen                   | Child Of             | Ramon, Count of Urgel
 Guillen                   | Child Of             | Timborosa
 Guillen Mongriu           | Superior Of          | archiepiscopal seat of Ta
 Guillen Mongriu           | Interacted With      | Castelbo
 Guillen Sagarra           | Employee Of          | Balearic Isles
 Guillermo Gonzalez        | Employee Of          | Iowa State University
 Gui of Vaux-Cernay        | Lives In             | Venice
 Guion de Cressonessart    | Lives In             | Beauvais
 Guion de Cressonessart    | Student Of           | Marguerite de Hainault
 Guiraud Bernard           | Child Of             | Esclarmonde
 Guiseppe Mazzini          | Member Of            | Illuminati
 Guise's wife              | Spouse Of            | Guise
 Gulbuddin Hekmatyar       | Leader Of            | Hezb-e-Islami
 Gulbuddin Hekmatyar       | Employee Of          | Inter-Services Intelligen
 Gülen, Fethullah          | Founder Of           | Gülen schools
 Gülen Movement            | Employer Of          | Turkish Olympiad
 Gulf & Western            | Owner Of             | Paramount Pictures
 Gul Tuysuz                | Employee Of          | CNN
 Gus Giella                | Employee Of          | Diocese of Harrisburg
 Gustave Herve             | Leader Of            | F.N.C.
 Gustave Herve             | Supporter Of         | Philippe Petain
 Gustavo Gutierrez         | Member Of            | Society of Jesus
 Gutitch                   | Colleague Of         | Bilogrivitch
 Guy Banister              | Lives In             | 544 Camp Street
 Guy Banister              | Member Of            | Anti-Communism League of 
 Guy Banister              | Employer Of          | David Ferrie
 Guy Banister              | Member Of            | Minutemen
 Guy Consolmagno           | Colleague Of         | Stephen Hawking
 Guy de Rais               | Parent Of            | Gilles de Rais
 Guy Fawkes                | Leader Of            | Gunpowder Plot
 Guy Fawkes                | Leader Of            | Gunpowder Plot of 1605
 Guy Fawkes                | Opponent Of          | James I of England
 Guy Parker                | Employee Of          | RAND Corporation
 Guy Ritchie               | Spouse Of            | Madonna
 Guy Vander Jagt           | Attended             | Georgetown
 Guy Vander Jagt           | Leader Of            | Republican National Congr
 Guy Vander Jagt           | Attended             | University of Michigan
 G. W. Snyder              | Interacted With      | George Washington
 György Thurzó             | Lives In             | Čachtice
 György Thurzó             | Member Of            | Hungary
 Hades                     | Child Of             | Saturn
 Hafizullah Amin           | Student Of           | Columbia University
 Hafizullah Amin           | Student Of           | University of Wisconsin
 Haig                      | Member Of            | Sovereign Military Order 
 Haight-Ashbury Medical Cl | Lives In             | San Francisco
 Haitian police            | Employer Of          | Laura Silsby
 Hal Deadman               | Employee Of          | FBI
 Hale Boggs                | Parent Of            | Barbara Boggs-Sigmund
 Hale Boggs                | Spouse Of            | Marie Corinne Morrison Cl
 Hale Boggs                | Parent Of            | Mary
 Halke von Ledochowski     | Leader Of            | Jesuits
 Hall                      | Colleague Of         | Bergoglio
 Hall                      | Interacted With      | Pope Francis
 Hall                      | Lives In             | Rome
 Haluk Kırcı               | Member Of            | Wolves
 Ham                       | Child Of             | Noah
 Hamas                     | Enemy Of             | Israel
 H.A. Metz                 | Member Of            | Bank of Manhattan (U.S.)
 H.A. Metz                 | Member Of            | I.G. Farben, Germany
 Hamlet's father           | Sibling Of           | Hamlet's uncle
 Hamza Bey                 | Member Of            | Ottoman Empire
 Hank Brown                | Member Of            | US Senate Subcommittee to
 Hank Hughes               | Employee Of          | National Transportation S
 Hannah Furness            | Employee Of          | The Telegraph
 Hannah Osborne            | Works For            | International Business Ti
 Hans                      | Spouse Of            | Margarethe
 Hans                      | Parent Of            | Martin
 Hans                      | Parent Of            | Martin Luther
 Hans Albert               | Child Of             | Einstein
 Hans Albert Einstein      | Sibling Of           | Eduard Einstein
 Hans Kerll                | Works For            | Third Reich
 Hans Kunz                 | Associate Of         | Stibam
 Hans Ludher               | Parent Of            | Martin Luther
 Hans Luther               | Parent Of            | Martin Luther
 Hans Otto                 | Lives In             | Frankfurt
 Hans Richner              | Employee Of          | Swiss Federal Institute o
 Hans Roggen               | Member Of            | Swiss Guards
 Hao Hao                   | Rival Of             | Cao Dai
 Harbinger Group Inc.      | Lives In             | Rochester, New York
 Harlan Holman             | Works For            | Washington National recor
 Harold Adrian Russell “Ki | Employee Of          | MI6
 Harold Andersen           | Member Of            | American Newspaper Publis
 Harold Andersen           | Friend Of            | Lawrence King
 Harold Andersen           | Employee Of          | Omaha World-Herald
 Harold Andersen           | Member Of            | The Associated Press
 Harold Andersen           | Member Of            | World Press Freedom Commi
 Harold Berman             | Works For            | Willowbrook State School
 Harold Bride              | Employee Of          | Marconi
 Harold Bride              | Employee Of          | Titanic
 Haroon Kasir              | Employee Of          | Elm Guest House
 Harriet Alexander         | Works For            | Telegraph
 Harriman                  | Member Of            | Skull and Bones
 Harri Tudur               | Supporter Of         | League of Venice
 Harri Tudur               | Enemy Of             | Richard III
 Harry Anslinger           | Associate Of         | Archbishop Marcinkus
 Harry Anslinger           | Leader Of            | Bureau of Narcotics
 Harry Anslinger           | Leader Of            | Bureau of Narcotics and D
 Harry Anslinger           | Employee Of          | Federal Bureau of Narcoti
 Harry Kasir               | Owner Of             | Elm
 Harry S. Truman           | Supporter Of         | Alfred E. Smith
 Harry S. Truman           | Member Of            | Alpha Delta Gamma Jesuit 
 Harry S. Truman           | Leader Of            | American Government
 Harry S. Truman           | Member Of            | Ararat Shrine Temple
 Harry S. Truman           | Supporter Of         | John F. Kennedy
 Harry S. Truman           | Friend Of            | L. Curtis Tiernan
 Harry S. Truman           | Associate Of         | L. Curtis Tiernan
 Harry S. Truman           | Member Of            | Missouri National Guard
 Harry S. Truman           | Founder Of           | National Security Agency
 Harry S. Truman           | Leader Of            | OSS
 Harry S. Truman           | Employer Of          | Robert Lovett
 Harry S. Truman           | Attended             | University of Missouri
 Harry Truman              | Subordinate Of       | Franklin D. Roosevelt
 Harry Welch               | Parent Of            | Edgar Maddison Welch
 Hattie Byland             | Employee Of          | Priority
 Hauff                     | Employee Of          | Russian Pontifical Colleg
 Hayman                    | Employee Of          | British Information Servi
 Hayman                    | Employee Of          | MI6
 Heather Fong              | Employee Of          | San Francisco Police Depa
 Heather Graf              | Employee Of          | NBC King 5
 Heather McDougall         | Employee Of          | The Guardian
 Heather Saul              | Works For            | The Independent
 Hector Garza              | Works For            | Breitbart Texas
 Hector Garza              | Member Of            | National Border Patrol Co
 Hector Garza              | Member Of            | National Border Patrol Co
 Hefner                    | Founder Of           | Playboy
 Heinrich                  | Parent Of            | Karl Marx
 Heinrich                  | Interacted With      | Pope Gregory
 Heinrich                  | Lives In             | Prusia
 Heinrich Bullinger        | Colleague Of         | Huldrych Zwingli
 Heinrich Hermann Robert K | Subordinate Of       | Friedrich Henle
 Heinrich Himmler          | Leader Of            | Schutzstaffel
 Heinrich Himmler          | Leader Of            | SS
 Heinrich IV               | Adversary Of         | Hildebrand of Sovana
 Heinrich VI               | Rival Of             | Heinrich der Löwe
 Heinz Guderian            | Leader Of            | 2nd Panzer Group
 Heinz Hohne               | Colleague Of         | Hermann Zolling
 Heinz Lembke              | Leader Of            | Gladio
 Helen                     | Sibling Of           | Sara Northrup
 Helena                    | Parent Of            | Constantine
 Helena Clifford           | Lives In             | Coventry
 Helena Petrovna Blavatsky | Subordinate Of       | Constant Lévi
 Helena Petrovna Blavatsky | Founder Of           | Theosophical Society
 Helene                    | Lives In             | convent of the sisters of
 Helene                    | Spouse Of            | Marcel Deat
 Helen Gordon              | Works For            | Bakersfield
 Helen Holowczak           | Grandparent Of       | Fiona Barnett
 Helen Kottarenin          | Employee Of          | Elizabeth
 Helen Pow                 | Employee Of          | Daily Mail
 Helinand                  | Employee Of          | Edward the Confessor
 Helinand                  | Lives In             | Laon
 Helinand                  | Lives In             | Reims
 Helle Bering              | Employee Of          | Washington Times
 Hellenic Raiding Force    | Subordinate Of       | Greek Defense Ministry
 Helliwell                 | Founder Of           | Castle Bank and Trust
 Helliwell                 | Founder Of           | Mercantile Bank and Trust
 Helliwell                 | Founder Of           | Underwriters Bank, Ltd.
 Helliwell                 | Subordinate Of       | William Donovan
 Henle                     | Employee Of          | Children’s Hospital of Ph
 Henle                     | Employee Of          | Kaiser Wilhelm Institute
 Henle                     | Graduate Of          | University of Heidelberg
 Henle                     | Employee Of          | University of Pennsylvani
 Henning Jacobson          | Lives In             | Sweden
 Henri                     | Mentor Of            | Diane de Poitiers
 Henri Alexis Ribière      | Leader Of            | Service de Documentation 
 Henri Arsan               | Member Of            | Stibam
 Henri Arsan               | Leader Of            | Stibam International
 Henri Arsan               | Employee Of          | US Drug Enforcement Admin
 Henri Coiffier de Ruzé    | Associate Of         | Louis
 Henri Danjou              | Employee Of          | France-Soir
 Henri de Bourbon          | Leader Of            | Huguenot movement
 Henri de Chamay           | Interacted With      | auto de fe at Pamiers on 
 Henri de Chamay           | Lives In             | Carcassonne
 Henri de Montmorency II   | Opponent Of          | Cardinal Armand Jean du P
 Henri de Montmorency II   | Subordinate Of       | Louis XIV
 Henri, duc de Guise       | Enemy Of             | François de Lorraine, 2nd
 Henri, duc de Guise       | Enemy Of             | Gaspard de Coligny
 Henri, duc de Guise       | Collaborator Of      | Serpent Queen Regent
 Henrietta                 | Parent Of            | Karl Marx
 Henrietta Bernstein       | Employer Of          | Cabalah Primer
 Henrietta Maria           | Child Of             | Marie de' Medici
 Henrietta Maria of France | Child Of             | Henry IV
 Henriette-Marie           | Sibling Of           | Louis XIII
 Henri I                   | Sibling Of           | Cardinal Louise II
 Henri I                   | Adversary Of         | Gaspard de Coligny
 Henri II                  | Spouse Of            | Catherine
 Henri II                  | Partner Of           | Diane de Poiters
 Henri II                  | Spouse Of            | Diane de Poitiers
 Henri II                  | Parent Of            | Elizabeth of France
 Henri II                  | Sibling Of           | Francis (eldest son of Fr
 Henri III                 | Sibling Of           | Charles IX
 Henri III                 | Enemy Of             | Charles IX
 Henri III                 | Grandchild Of        | François I of France
 Henri III                 | Child Of             | Henri II
 Henri III                 | Spouse Of            | Louise of Lorraine
 Henri IV.                 | Collaborator Of      | Battle of Arques
 Henri IV.                 | Collaborator Of      | Battle of Ivry
 Henri IV.                 | Collaborator Of      | Edict of Nantes
 Henrik Palmgren           | Associate Of         | Red Ice Creations
 Henri Marielxi Bouley     | Employee Of          | Veterinary School at Mais
 Henri of Condé            | Cousin Of            | Henri de Navarre
 Henri of Navarre          | Friend Of            | King Henri III
 Henri of Navarre          | Spouse Of            | Margaret of Valois
 Henry                     | Spouse Of            | Ann Boleyn
 Henry                     | Associate Of         | Anne Boleyn
 Henry                     | Spouse Of            | Anne Boleyn
 Henry                     | Sibling Of           | Arthur, Prince of Wales
 Henry                     | Friend Of            | Becket
 Henry                     | Child Of             | Catherine de´Medici
 Henry                     | Spouse Of            | Catherine of Aragon
 Henry                     | Spouse Of            | Catherine of Aragorn
 Henry                     | Founder Of           | Catholic Church in Englan
 Henry                     | Leader Of            | council at Clarendon
 Henry                     | Parent Of            | Edward
 Henry                     | Parent Of            | Edward VI
 Henry                     | Parent Of            | Elizabeth I
 Henry                     | Employer Of          | Flanders
 Henry                     | Sibling Of           | Francis
 Henry                     | Parent Of            | Geoffrey
 Henry                     | Child Of             | Guise
 Henry                     | Parent Of            | Henry the Young
 Henry                     | Spouse Of            | Jane Seymour
 Henry                     | Lives In             | Lausanne
 Henry                     | Parent Of            | Mary I
 Henry                     | Leader Of            | Parliament at Westminster
 Henry                     | Student Of           | Peter de Bruys
 Henry                     | Parent Of            | Richard I
 Henry                     | Employer Of          | Sir Thomas More
 Henry                     | Employer Of          | Thomas Becket
 Henry                     | Employer Of          | Thomas Cromwell
 Henry                     | Parent Of            | Young Henry
 Henry A. Grunwald         | Employee Of          | Time magazine
 Henry Bacon, Jr.          | Employer Of          | Lincoln Memorial
 Henry Bacon, Jr.          | Employer Of          | Lincoln Memorial pool
 Henry Bacon, Sr.          | Parent Of            | Francis Henry Bacon
 Henry Bacon, Sr.          | Parent Of            | Henry Bacon, Jr.
 Henry Charles Lea         | Employer Of          | A History of the Inquisit
 Henry Charles Lea         | Spouse Of            | Frances Anne Carey
 Henry Clay Frick          | Member Of            | South Fork Fishing and Hu
 Henry, Duke of Orléans    | Spouse Of            | Catherine
 Henry, Duke of Orléans    | Child Of             | Francis I of France
 Henry Ford                | Supporter Of         | The Protocols of the Elde
 Henry Frick               | Founder Of           | South Fork Hunting & Fish
 Henry Grey, 1st Duke of S | Parent Of            | Jane Grey
 Henry Harry Edwards       | Founder Of           | Bohemian Grove
 Henry Howard              | Owner Of             | New Wardour Castle
 Henry Hyde                | Sibling Of           | Anne Hyde
 Henry Hyde                | Sibling Of           | James
 Henry I, Duke of Guise    | Child Of             | Francis
 Henry II                  | Rival Of             | Becket
 Henry II                  | Associate Of         | Diane de Poitiers
 Henry II                  | Leader Of            | Edict of Compiegne
 Henry II                  | Leader Of            | England
 Henry II                  | Partner Of           | Louis
 Henry II                  | Employer Of          | Thomas Becket
 Henry III                 | Child Of             | Catherine de Medicis
 Henry III                 | Sibling Of           | Charles IX
 Henry III                 | Lives In             | England
 Henry III                 | Lives In             | France
 Henry III                 | Spouse Of            | Louise, Duchess of Lorrai
 Henry III                 | Opponent Of          | Magna Carta
 Henry III. of England     | Lives In             | England
 Henry II of England       | Employer Of          | Thomas Becket
 Henry II of Navarre       | Parent Of            | Jeanne d’Albret
 Henry II of Navarre       | Spouse Of            | Marguerite d’Angoulême
 Henry IV                  | Child Of             | John of Gaunt
 Henry IV of Navarre       | Employer Of          | Edict of Nantes
 Henry John Heinz II       | Employer Of          | H. J. Heinz Company
 Henry John Heinz II       | Parent Of            | H. John Heinz III
 Henry John Heinz III      | Member Of            | Skull and Bones
 Henry Kissinger           | Member Of            | Banca Nazionale del Lavor
 Henry Kissinger           | Member Of            | Council on Foreign Relati
 Henry Kissinger           | Colleague Of         | Nelson Rockefeller
 Henry Kissinger           | Subordinate Of       | President Nixon
 Henry Kissinger           | Subordinate Of       | Richard Nixon
 Henry Kissinger           | Founder Of           | Safari Club
 Henry Kissinger           | Superior Of          | Santovito
 Henry Kissinger           | Works For            | United States
 Henry, Lord Arundell      | Niece/Nephew Of      | Eighth Duke of Norfolk
 Henry, Lord Arundell      | Lives In             | Wardour Castle
 Henry Luce                | Member Of            | Skull & Bones
 Henry Luce                | Employer Of          | Time
 Henry Luce                | Owner Of             | Time
 Henry Luce                | Founder Of           | Time and Life
 Henry Luce                | Employee Of          | Time Inc.
 Henry Luce                | Founder Of           | Time-Life empire
 Henry Luce                | Founder Of           | Time-Life Enterprises
 Henry Makow               | Owner Of             | Henry Makow.com
 Henry Makow               | Employee Of          | HenryMakow.com
 Henry Manfredi            | Employee Of          | Federal Bureau of Narcoti
 Henry Manning             | Friend Of            | Florence Nightingale
 Henry Murray              | Member Of            | Office of Strategic Servi
 Henry Norris              | Colleague Of         | William Cecil
 Henry of Clairvaux        | Colleague Of         | St. Bernard
 Henry of Fistigen         | Subordinate Of       | Alexander IV
 Henry of Fistigen         | Leader Of            | Metz
 Henry of Navarre          | Parent Of            | Louis XIII
 Henry of Navarre          | Spouse Of            | Marguerite of Valois
 Henry of Navarre          | Spouse Of            | Marie de' Medici
 Henry of Navarre          | Spouse Of            | Marie de´Medici Valois
 Henry of Yehringen        | Lives In             | Strassburg
 Henry P. Davison          | Employee Of          | J.P. Morgan Company
 Henry Phillips            | Lives In             | Antwerp
 Henry Phillips            | Lives In             | London
 Henry P. Schardt          | Employee Of          | CIA
 Henry's eldest son        | Child Of             | Henry
 Henry Stimson             | Founder Of           | American biological warfa
 Henry Stimson             | Member Of            | Skull and Bones
 Henry Sturgis Morgan      | Member Of            | Council on Foreign Relati
 Henry Sturgis Morgan      | Child Of             | J. P. Morgan Jr.
 Henry Sturgis Morgan      | Founder Of           | Morgan Stanley
 Henry the Black           | Lives In             | Germany
 Henry the Young King      | Child Of             | Henry II
 Henry Tudor               | Spouse Of            | Catherine of Aragon
 Henry VIII                | Founder Of           | Anglican Church
 Henry VIII                | Founder Of           | Anglicanism
 Henry VIII                | Spouse Of            | Anne Boleyn
 Henry VIII                | Spouse Of            | Catherine of Aragon
 Henry VIII                | Parent Of            | Edward VI
 Henry VIII                | Parent Of            | Elisabeth I of England
 Henry VIII                | Lives In             | England
 Henry VIII                | Leader Of            | England
 Henry VIII                | Parent Of            | Mary
 Henry Wade                | Employee Of          | FBI
 Henry Wallace             | Founder Of           | Great Seal
 Henry Waxman              | Member Of            | Congressional Committee
 Henry Waxman              | Leader Of            | House of Representatives 
 Henry Weinstein           | Colleague Of         | Marilyn Monroe
 Henry W. Pierce           | Interacted With      | Clapp
 Henry W. Pierce           | Employee Of          | Post-Gazette
 Herbert Hunt              | Founder Of           | Council for National Poli
 Herbert of Bosham         | Associate Of         | Thomas
 Herbert Spiegel           | Colleague Of         | Jessica Arline Wilcox
 Hercule François          | Sibling Of           | Henry
 Hermann Abs               | Leader Of            | Deutsche Bank
 Hermann Abs               | Leader Of            | IG Farben
 Hermann Abs               | Member Of            | Sovereign Military Order 
 Hermann Busenbaum         | Member Of            | Society of Jesus
 Hermann Muckermann        | Subordinate Of       | Hitler
 Hermann Rauschning        | Leader Of            | Senate of Dantzig
 Hermann Rinck             | Lives In             | Cologne
 Hermann Samuel Reimarus   | Collaborator Of      | Gotthold Ephraim Lessing
 Hermann Strack            | Employee Of          | University of Berlin
 Herman Van Rompuy         | Attended             | Jesuit Sint-Jan Berchmans
 Herman Van Rompuy         | Attended             | Katholieke Universiteit L
 Herman Wells              | Employee Of          | Indiana University
 Herman Wells              | Leader Of            | University
 Hernan Cortes             | Leader Of            | Spanish
 Hernán Cubillos           | Leader Of            | Chilean Institute for Gen
 Hernán Cubillos           | Founder Of           | Qué Pasa
 Herr Goebbels             | Associate Of         | Hitler
 Herr von Berlepsch        | Employee Of          | Wartburg Castle
 Hetty Johnston            | Founder Of           | Bravehearts
 Hetty Johnston            | Founder Of           | Bravehearts
 Hieronyma Spara           | Associate Of         | Tofana
 High Court                | Lives In             | Canberra
 Hilary Arthur Reuel Tolki | Sibling Of           | John Ronald Reuel Tolkien
 Hilary Koprowski          | Spouse Of            | Irena
 Hilary Koprowski          | Employee Of          | Lederle Laboratories
 Hilary Koprowski          | Employee Of          | Rockefeller foundation
 Hilary White              | Works For            | LifeSiteNews
 Hildebert of Le Mans      | Lives In             | Le Mans
